DATE,risk_free_monthly
2004-12-31,0.0034604789023748588
2005-01-31,0.0033804968122218126
2005-02-28,0.0035563561900363665
2005-03-31,0.0036680737847311884
2005-04-29,0.003436492334687064
2005-05-31,0.003268392762773444
2005-06-30,0.003220301966017044
2005-07-29,0.0034924502564341302
2005-08-31,0.003284416863069588
2005-09-30,0.0035403843005129497
2005-10-31,0.003723876468533841
2005-11-30,0.003660098921494007
2005-12-30,0.0035803082860096434
2006-01-31,0.003691993796377026
2006-02-28,0.0037079366572126088
2006-03-31,0.003954661763024611
2006-04-28,0.004121384059382708
2006-05-31,0.004161030729017411
2006-06-30,0.00418480968005146
2006-07-31,0.004057910128229884
2006-08-31,0.0038592419052708633
2006-09-29,0.003779641810066433
2006-10-31,0.0037557469472981786
2006-11-30,0.0036361697516717733
2006-12-29,0.003835369859273271
2007-01-31,0.003930817039699161
2007-02-28,0.0037159069439896015
2007-03-30,0.003787605241993113
2007-04-30,0.0037716776170720477
2007-05-31,0.003986444117846671
2007-06-29,0.004089653137216054
2007-07-31,0.0038910606659985293
2007-08-31,0.003699965608057043
2007-09-28,0.0037398132315071254
2007-10-31,0.0036521232950024597
2007-11-30,0.003244350833482295
2007-12-31,0.0033004378826966183
2008-01-31,0.003003549278910776
2008-02-29,0.002890936649160855
2008-03-31,0.0028265181836217203
2008-04-30,0.003083893802424645
2008-05-30,0.003316455822838838
2008-06-30,0.003260379557004173
2008-07-31,0.003260379557004173
2008-08-29,0.0031320633606059345
2008-09-30,0.0031481136945024934
2008-10-31,0.0032764051980792006
2008-11-28,0.0024065799625313977
2008-12-31,0.0018542174112349769
2009-01-30,0.0023579890962372708
2009-02-27,0.0024794131791123167
2009-03-31,0.0022282747658017928
2009-04-30,0.002592582918754394
2009-05-29,0.0028426274690639846
2009-06-30,0.002890936649160855
2009-07-31,0.0028828870637082472
2009-08-31,0.002786231340519785
2009-09-30,0.0027136659061052153
2009-10-30,0.0027942902673993623
2009-11-30,0.0026329634658125486
2009-12-31,0.0031481136945024934
2010-01-29,0.0029713897673362237
2010-02-26,0.0029553053562974218
2010-03-31,0.00314008891397404
2010-04-30,0.0030196243818412798
2010-05-28,0.0027136659061052153
2010-06-30,0.0024389581400473454
2010-07-30,0.0024146756863764325
2010-08-31,0.00203332390196126
2010-09-30,0.00208210439115905
2010-10-29,0.002163341805794302
2010-11-30,0.00230936988054465
2010-12-31,0.002705599178125118
2011-01-31,0.002802348414998672
2011-02-28,0.002802348414998672
2011-03-31,0.0028426274690639846
2011-04-29,0.0027217318532956896
2011-05-31,0.002503676779031387
2011-06-30,0.002608737485701044
2011-07-29,0.0023174750532722692
2011-08-31,0.0018379158984026093
2011-09-30,0.0015848338196468293
2011-10-31,0.001788992217936748
2011-11-30,0.001715552800699026
2011-12-30,0.0015603011665085425
2012-01-31,0.0015112141829568897
2012-02-29,0.0016338774699098625
2012-03-30,0.0018379158984026093
2012-04-30,0.0016093592526977404
2012-05-31,0.0013145765929468533
2012-06-29,0.0013801740249148526
2012-07-31,0.0012489274840206865
2012-08-31,0.0012981691636098718
2012-09-28,0.0013637795071886859
2012-10-31,0.0014211462138189685
2012-11-30,0.0013391816814578717
2012-12-31,0.0014702862643829401
2013-01-31,0.0016665572088907603
2013-02-28,0.0015603011665085425
2013-03-28,0.0015439420511569634
2013-04-30,0.0014047597555352338
2013-05-31,0.0017808354780160455
2013-06-28,0.002073976292314907
2013-07-31,0.0021389788957148176
2013-08-30,0.002285049631332685
2013-09-30,0.002171461193274133
2013-10-31,0.0021146088609356917
2013-11-29,0.0022607222823543913
2013-12-31,0.0024955896973293417
2014-01-31,0.0021958146102318303
2014-02-28,0.0021876975953388084
2014-03-31,0.002244500103340087
2014-04-30,0.0021958146102318303
2014-05-30,0.0020414559666989476
2014-06-30,0.00208210439115905
2014-07-31,0.002122732997752589
2014-08-29,0.0019356771766006035
2014-09-30,0.002073976292314907
2014-10-31,0.0019356771766006035
2014-11-28,0.0017971481595467154
2014-12-31,0.001788992217936748
